page_slug,section,block_id,field_label,source_key,current_text,proposed_text,notes
mycopd,Product summary (hero),hero,App name,app_name,myCOPD,,
mycopd,Product summary (hero),hero,Supplier name,supplier_name,my mhealth Limited,,
mycopd,Product summary (hero),hero,One-line value proposition,one_line_value_proposition,"Structured COPD self-management, home pulmonary rehabilitation and remote monitoring — the only app in NICE HTE19 with a prior NICE MTG recommendation.",,
mycopd,Product summary (hero),hero,Condition tags (JSON slugs),condition_tags,copd,,
mycopd,Product summary (hero),hero,Condition tags (UI labels),condition_tags__display,COPD,,Derived: Badges.tsx ConditionTag
mycopd,Product summary (hero),hero,Maturity level (JSON),maturity_level,scaled,,
mycopd,Product summary (hero),hero,Maturity (UI badge),maturity_level__display,Established,,Derived: MaturityBadge
mycopd,Product summary (hero),hero,Supervision model (JSON),supervision_model,self_management_only,,
mycopd,Product summary (hero),hero,Supervision (UI badge),supervision_model__display,Self-management,,Derived: SupervisionBadge
mycopd,Why it matters locally,why_it_matters,Body,why_it_matters_locally,COPD drives high unplanned admissions and significant GP workload. myCOPD gives patients a structured self-management toolkit — including a 6-week home PR programme — without requiring face-to-face PR capacity. The Pro tier adds a clinician dashboard for remote monitoring at population scale.,,
mycopd,Context of use,context_of_use,Target population,context_of_use.population,Adults aged 18+ with COPD (all GOLD grades A–E),,
mycopd,Context of use,context_of_use,Clinical pathways,context_of_use.pathways,"Self-management, Pulmonary rehabilitation, Post-exacerbation support, Remote monitoring (Pro)",,
mycopd,Context of use,context_of_use,Care settings,context_of_use.care_settings,"Primary care, Community, Secondary care outpatients",,
mycopd,Context of use,context_of_use,Therapeutic purpose,context_of_use.therapeutic_purpose,"Self-management education, inhaler technique training, home PR programme, remote symptom monitoring",,
mycopd,Context of use,context_of_use,HCP involvement,context_of_use.hcp_involvement,Essentials: minimal. Pro: clinician dashboard review required,,
mycopd,Context of use,context_of_use,NICE scope,context_of_use.nice_scope,NICE HTE19 (HTG736) — recommended during 3-year evidence generation period,,
mycopd,Scale and maturity,scale_maturity,Evidence strength (JSON),evidence_strength,strong,,
mycopd,Scale and maturity,scale_maturity,Evidence strength (UI badge),evidence_strength__display,Strong,,Derived: EvidenceBadge
mycopd,Scale and maturity,scale_maturity,Evidence overview,evidence_strength_rationale,"NICE/EAG found multiple myCOPD RCTs, and the PR guidance says myCOPD had well-designed RCT evidence supporting digital-vs-face-to-face non-inferiority. Real-world NHS use is mixed but materially broad.",,
mycopd,Scale and maturity,live_site_named_sites[0],Live site name,named_sites[0].name,NHS Grampian,,
mycopd,Scale and maturity,live_site_named_sites[0],Site status,named_sites[0].status,active,,
mycopd,Scale and maturity,live_site_named_sites[1],Live site name,named_sites[1].name,NHS Dorset ICS,,
mycopd,Scale and maturity,live_site_named_sites[1],Site status,named_sites[1].status,active,,
mycopd,Scale and maturity,live_site_named_sites[2],Live site name,named_sites[2].name,NHS Highland,,
mycopd,Scale and maturity,live_site_named_sites[2],Site status,named_sites[2].status,active,,
mycopd,Scale and maturity,live_site_named_sites[3],Live site name,named_sites[3].name,Kent Community Health NHS FT,,
mycopd,Scale and maturity,live_site_named_sites[3],Site status,named_sites[3].status,active,,
mycopd,Scale and maturity,live_site_named_sites[4],Live site name,named_sites[4].name,Southend University Hospital,,
mycopd,Scale and maturity,live_site_named_sites[4],Site status,named_sites[4].status,active,,
mycopd,Scale and maturity,live_site_named_sites[5],Live site name,named_sites[5].name,Portsmouth Hospitals NHS Trust,,
mycopd,Scale and maturity,live_site_named_sites[5],Site status,named_sites[5].status,active,,
