page_slug,section,block_id,field_label,source_key,current_text,proposed_text,notes
myheart,Product summary (hero),hero,App name,app_name,myHeart,,
myheart,Product summary (hero),hero,Supplier name,supplier_name,my mhealth Limited,,
myheart,Product summary (hero),hero,One-line value proposition,one_line_value_proposition,"NICE HTG764-recommended cardiac rehabilitation app from the makers of myCOPD — over 20,800 UK users, DTAC completed, with the Dorset County Hospital case study showing 70% CR uptake (surpassing the 2028 NHS target).",,
myheart,Product summary (hero),hero,Condition tags (JSON slugs),condition_tags,cardiac_rehab,,
myheart,Product summary (hero),hero,Condition tags (UI labels),condition_tags__display,Cardiac rehab,,Derived: Badges.tsx ConditionTag
myheart,Product summary (hero),hero,Maturity level (JSON),maturity_level,scaled,,
myheart,Product summary (hero),hero,Maturity (UI badge),maturity_level__display,Established,,Derived: MaturityBadge
myheart,Product summary (hero),hero,Supervision model (JSON),supervision_model,self_management_only,,
myheart,Product summary (hero),hero,Supervision (UI badge),supervision_model__display,Self-management,,Derived: SupervisionBadge
myheart,Why it matters locally,why_it_matters,Body,why_it_matters_locally,"myHeart has the largest documented NHS deployment among HTG764-recommended platforms, with over 20,800 UK users since 2018. The Dorset County Hospital case study demonstrated 70% CR uptake — surpassing the 2028 NHS Long-Term Plan target. Built on the my mhealth platform (which also powers myCOPD), it benefits from an established NHS relationship and DTAC completion.",,
myheart,Context of use,context_of_use,Target population,context_of_use.population,"Adults with heart failure, post-cardiac event, post-cardiac surgery",,
myheart,Context of use,context_of_use,Clinical pathways,context_of_use.pathways,"Cardiac rehabilitation, Home-based CR, Class-based CR adjunct",,
myheart,Context of use,context_of_use,Care settings,context_of_use.care_settings,"Home-based, Secondary care",,
myheart,Context of use,context_of_use,Therapeutic purpose,context_of_use.therapeutic_purpose,"Personalised exercise, 50+ educational videos, symptom tracking, activity diary, medication diary, ECG/ECHO tracking, psychosocial support, clinician remote monitoring",,
myheart,Context of use,context_of_use,HCP involvement,context_of_use.hcp_involvement,"Active — clinician app for remote monitoring, messaging, and patient management",,
myheart,Context of use,context_of_use,NICE scope,context_of_use.nice_scope,NICE HTG764 — conditionally recommended during 3-year evidence generation period,,
myheart,Scale and maturity,scale_maturity,Evidence strength (JSON),evidence_strength,moderate,,
myheart,Scale and maturity,scale_maturity,Evidence strength (UI badge),evidence_strength__display,Moderate,,Derived: EvidenceBadge
myheart,Scale and maturity,scale_maturity,Evidence overview,evidence_strength_rationale,"NICE identified one small UK three-way RCT and a 434-person real-world evaluation. Evidence supports NICE evidence generation, but the RCT is small, some evidence is observational/conference-based.",,
myheart,Scale and maturity,live_site_named_sites[0],Live site name,named_sites[0].name,Dorset County Hospital NHSFT,,
myheart,Scale and maturity,live_site_named_sites[0],Site status,named_sites[0].status,active,,
myheart,Scale and maturity,live_site_named_sites[1],Live site name,named_sites[1].name,Leeds Community Healthcare NHS Trust,,
myheart,Scale and maturity,live_site_named_sites[1],Site status,named_sites[1].status,active,,
myheart,Scale and maturity,live_site_named_sites[2],Live site name,named_sites[2].name,University Hospitals of Derby and Burton NHSFT,,
myheart,Scale and maturity,live_site_named_sites[2],Site status,named_sites[2].status,active,,
myheart,Scale and maturity,live_site_named_sites[3],Live site name,named_sites[3].name,Additional NHS secondary care cardiac rehabilitation services,,
myheart,Scale and maturity,live_site_named_sites[3],Site status,named_sites[3].status,active,,
myheart,Scale and maturity,scale_maturity,Population reach,patients_covered_note,"Over 20,800 myHeart users in the UK. In use since 2018/2019. 275,000+ rehabilitation/education sessions delivered in 2020 across the mymhealth platform.",,
myheart,What it takes locally,what_it_takes,Local effort (JSON),local_wraparound,medium,,
myheart,What it takes locally,what_it_takes,Local effort (UI badge),local_wraparound__display,Medium,,Derived: EffortBadge
myheart,What it takes locally,what_it_takes,Local effort detail,local_wraparound_detail,CR team integration and training required. Bluetooth devices for vital monitoring optional. Knowledge hub and implementation resources provided.,,
myheart,What it takes locally,what_it_takes,Onboarding model (raw JSON),onboarding_model,clinician_led,,
myheart,What it takes locally,what_it_takes,Onboarding model (UI: underscores → spaces),onboarding_model__display_hint,clinician led,,Rendered in WhatItTakesLocallySection
myheart,What it takes locally,what_it_takes,Onboarding detail,onboarding_detail,Onboarding integrated into existing CR pathway as a menu-of-choice option. Knowledge hub with resources available at knowledgehub.mymhealth.com.,,
myheart,What it takes locally,what_it_takes,Training (rendered line),training_composite,Required. CR team training required. Knowledge hub and free ebook available for CR teams.,,
myheart,What it takes locally,what_it_takes,Training required (JSON),training_required,true,,
myheart,What it takes locally,what_it_takes,Training note,training_note,CR team training required. Knowledge hub and free ebook available for CR teams.,,
myheart,What it takes locally,what_it_takes,Supplier wrap,supplier_wrap,"Patient app and clinician app. 50+ educational videos, personalised exercise, symptom trackers, activity diary, medication diary, ECG/ECHO tracking, psychosocial support. Clinician app enables remote monitoring of weight, symptoms, BP. Messaging to individuals, groups, or broadcast.",,
myheart,What it takes locally,what_it_takes,Service wrap (rendered block),service_wrap_block,"Included in offer. Knowledge hub, implementation resources and clinician app included.",,
myheart,What it takes locally,what_it_takes,Monitoring,monitoring_note,Non-continuous clinician review via clinician app. Remote monitoring of patient-entered vitals and activity. Not a 24/7 monitored service.,,
myheart,What it takes locally,what_it_takes,Escalation,escalation_note,Standard NHS escalation routes. Clinician app enables messaging to patients.,,
myheart,What it takes locally,what_it_takes,Operating hours caveat,operating_hours_caveat,Not a monitored emergency service. Clinician monitoring during standard working hours.,,
myheart,What it takes locally,what_it_takes,Prerequisite 1,implementation_prerequisites[0],"Smartphone, tablet, or smart TV with internet access",,
myheart,What it takes locally,what_it_takes,Prerequisite 2,implementation_prerequisites[1],CR team integration and training,,
myheart,What it takes locally,what_it_takes,Prerequisite 3,implementation_prerequisites[2],Bluetooth devices for vital monitoring (optional),,
myheart,What it takes locally,what_it_takes,Prerequisite 4,implementation_prerequisites[3],DTAC refresh confirmed,,
