page_slug,section,block_id,field_label,source_key,current_text,proposed_text,notes
luscii,Product summary (hero),hero,App name,app_name,Luscii,,
luscii,Product summary (hero),hero,Supplier name,supplier_name,Luscii Healthtech B.V. (OMRON Healthcare service),,
luscii,Product summary (hero),hero,One-line value proposition,one_line_value_proposition,"G-Cloud 14 listed remote monitoring platform with dual NICE recommendations (HTE19 + ARI), 25 million global registrations and the UK's largest COPD monitoring programme at NWL ICS.",,
luscii,Product summary (hero),hero,Condition tags (JSON slugs),condition_tags,copd,,
luscii,Product summary (hero),hero,Condition tags (UI labels),condition_tags__display,COPD,,Derived: Badges.tsx ConditionTag
luscii,Product summary (hero),hero,Maturity level (JSON),maturity_level,scaled,,
luscii,Product summary (hero),hero,Maturity (UI badge),maturity_level__display,Established,,Derived: MaturityBadge
luscii,Product summary (hero),hero,Supervision model (JSON),supervision_model,active_remote_management,,
luscii,Product summary (hero),hero,Supervision (UI badge),supervision_model__display,Remote management,,Derived: SupervisionBadge
luscii,Why it matters locally,why_it_matters,Body,why_it_matters_locally,"Luscii enables ICBs to build virtual COPD wards at scale without lengthy configuration delays — 150+ pre-built NHS pathways are available immediately. NWL ICS enrolled 6,000 COPD patients one year ahead of schedule. G-Cloud 14 listing means no separate OJEU tender is required.",,
luscii,Context of use,context_of_use,Target population,context_of_use.population,Adults with moderate-severe COPD or post-hospitalisation COPD patients,,
luscii,Context of use,context_of_use,Clinical pathways,context_of_use.pathways,"Remote monitoring, Virtual ward, Post-discharge support, Population health management",,
luscii,Context of use,context_of_use,Care settings,context_of_use.care_settings,"Secondary care, Virtual ward, Community",,
luscii,Context of use,context_of_use,Therapeutic purpose,context_of_use.therapeutic_purpose,"Active remote monitoring, automated triage, early exacerbation detection, population health management",,
luscii,Context of use,context_of_use,HCP involvement,context_of_use.hcp_involvement,Active — monitoring hub team required for triage and escalation,,
luscii,Context of use,context_of_use,NICE scope,context_of_use.nice_scope,NICE HTE19 (HTG736) — recommended during 3-year evidence generation period,,
luscii,Scale and maturity,scale_maturity,Evidence strength (JSON),evidence_strength,moderate,,
luscii,Scale and maturity,scale_maturity,Evidence strength (UI badge),evidence_strength__display,Moderate,,Derived: EvidenceBadge
luscii,Scale and maturity,scale_maturity,Evidence overview,evidence_strength_rationale,"NICE-prioritised evidence was UK before-after/case-series data, but a Luscii/cVitals randomised crossover study in Sweden exists and was feasible/safe without QoL benefit. RCT presence plus mid-scale implementation supports Moderate rather than Strong.",,
luscii,Scale and maturity,live_site_named_sites[0],Live site name,named_sites[0].name,NWL ICS / Imperial College Healthcare NHS Trust,,
luscii,Scale and maturity,live_site_named_sites[0],Site status,named_sites[0].status,active,,
luscii,Scale and maturity,live_site_named_sites[1],Live site name,named_sites[1].name,Bradford District and Craven ICB,,
luscii,Scale and maturity,live_site_named_sites[1],Site status,named_sites[1].status,active,,
luscii,Scale and maturity,live_site_named_sites[2],Live site name,named_sites[2].name,South Tyneside and Sunderland NHS FT (attribution caveated),,
luscii,Scale and maturity,live_site_named_sites[2],Site status,named_sites[2].status,active,,
luscii,Scale and maturity,live_site_named_sites[3],Live site name,named_sites[3].name,Airedale NHS Foundation Trust,,
luscii,Scale and maturity,live_site_named_sites[3],Site status,named_sites[3].status,active,,
luscii,Scale and maturity,live_site_named_sites[4],Live site name,named_sites[4].name,Maidstone and Tunbridge Wells NHS Trust,,
luscii,Scale and maturity,live_site_named_sites[4],Site status,named_sites[4].status,active,,
luscii,Scale and maturity,live_site_named_sites[5],Live site name,named_sites[5].name,NHS Dorset (asthma),,
luscii,Scale and maturity,live_site_named_sites[5],Site status,named_sites[5].status,active,,
luscii,Scale and maturity,live_site_named_sites[6],Live site name,named_sites[6].name,International deployments (11+ countries),,
luscii,Scale and maturity,live_site_named_sites[6],Site status,named_sites[6].status,active,,
luscii,Scale and maturity,scale_maturity,Population reach,patients_covered_note,"25 million+ global registrations across all conditions. 6,000+ COPD patients in NWL ICS alone. 350+ remote monitoring pathways delivered globally.",,
luscii,What it takes locally,what_it_takes,Local effort (JSON),local_wraparound,high,,
luscii,What it takes locally,what_it_takes,Local effort (UI badge),local_wraparound__display,High,,Derived: EffortBadge
luscii,What it takes locally,what_it_takes,Local effort detail,local_wraparound_detail,Clinical team or contracted 24/7 monitoring hub required. Pulse oximeters must be procured and supplied to patients. AWS Germany data residency requires DPIA review. Pathway design needed (either pre-built or custom via Builder).,,
luscii,What it takes locally,what_it_takes,Onboarding model (raw JSON),onboarding_model,clinician_led,,
luscii,What it takes locally,what_it_takes,Onboarding model (UI: underscores → spaces),onboarding_model__display_hint,clinician led,,Rendered in WhatItTakesLocallySection
luscii,What it takes locally,what_it_takes,Onboarding detail,onboarding_detail,Introductory patient call model (as per NWL ICS). Patient sets up app and Bluetooth oximeter with clinical support. 150+ pre-built pathways available immediately from Luscii Library. Custom pathways via Luscii Builder (Medical Developer certification required).,,
luscii,What it takes locally,what_it_takes,Training (rendered line),training_composite,Required. Certified Medical Developer programme available: clinicians complete online course → certificate → Luscii Builder access. 70% revenue share for Library-listed programmes.,,
luscii,What it takes locally,what_it_takes,Training required (JSON),training_required,true,,
luscii,What it takes locally,what_it_takes,Training note,training_note,Certified Medical Developer programme available: clinicians complete online course → certificate → Luscii Builder access. 70% revenue share for Library-listed programmes.,,
luscii,What it takes locally,what_it_takes,Supplier wrap,supplier_wrap,Co-creates remote monitoring strategy with each NHS organisation. Comprehensive implementation plans and stakeholder mapping. Luscii staff visit wards during setup. 24/7 monitoring hub support available.,,
luscii,What it takes locally,what_it_takes,Service wrap (rendered block),service_wrap_block,Included in offer. Comprehensive implementation support included. Confirm scope of 24/7 monitoring hub support in contract.,,
luscii,What it takes locally,what_it_takes,Monitoring,monitoring_note,"Active remote management model. Clinical Engine AI generates alerts for missed measurements, out-of-range readings and patient comments. Must be reviewed by clinical team or contracted hub.",,
luscii,What it takes locally,what_it_takes,Escalation,escalation_note,Alerts projected as FHIR Flags to connected EHR/EPR. Clinical team configures alert thresholds and escalation protocols.,,
luscii,What it takes locally,what_it_takes,Operating hours caveat,operating_hours_caveat,Virtual ward model requires staffed monitoring capability — either in-house or contracted (e.g. MyCare24 model). Confirm monitoring hours before deployment.,,
luscii,What it takes locally,what_it_takes,Prerequisite 1,implementation_prerequisites[0],Pulse oximeters procured and supplied to patients,,
luscii,What it takes locally,what_it_takes,Prerequisite 2,implementation_prerequisites[1],Clinical team or 24/7 monitoring hub contracted,,
luscii,What it takes locally,what_it_takes,Prerequisite 3,implementation_prerequisites[2],DPIA completed for AWS Germany data residency,,
luscii,What it takes locally,what_it_takes,Prerequisite 4,implementation_prerequisites[3],Pathway selected from Library or built via Luscii Builder,,
luscii,What it takes locally,what_it_takes,Prerequisite 5,implementation_prerequisites[4],DTAC approval confirmed locally,,
luscii,What it takes locally,what_it_takes,Prerequisite 6,implementation_prerequisites[5],Evidence generation agreement with NICE,,
luscii,Expected impact and case studies,impact,Expected benefit (body),expected_benefit_note,"Primary benefit is supporting virtual ward delivery and potentially reducing readmissions for COPD when monitoring and response processes are strong. NWL ICS enrolled 6,000 COPD patients ahead of schedule; Bradford reached similar scale with NHSE investment. Technology alone does not deliver outcomes.",,
luscii,Expected impact and case studies,impact,Commissioner note (banner),ui_static:case_studies_banner,Commissioner note: Case studies are illustrative local reports and may not meet the same standard as peer-reviewed trials. Use alongside the Clinical evidence section.,,Static UI in ImpactAndCaseStudiesSection
luscii,Expected impact and case studies,case_study_0,Title,case_studies[0].title,NWL ICS — UK's largest COPD remote monitoring programme,,
luscii,Expected impact and case studies,case_study_0,Setting,case_studies[0].setting,"North West London ICS / Imperial College Healthcare NHS Trust, 2022–2023",,
luscii,Expected impact and case studies,case_study_0,Outcome,case_studies[0].outcome,"6,000 COPD patient target met within 1 year — 12 months ahead of the 2-year programme target. MyCare24 24/7 monitoring hub operational.",,
luscii,Expected impact and case studies,case_study_0,Caveat,case_studies[0].caveat,Programme scale and pace data from Luscii G-Cloud 14 Service Definition — not independently peer-reviewed. Outcomes reflect specific NWL ICS configuration including 24/7 hub model.,,
luscii,Expected impact and case studies,case_study_0,Source,case_studies[0].source,"Luscii G-Cloud 14 Service Definition (NHS Digital Marketplace, 2024)",,
luscii,Expected impact and case studies,case_study_1,Title,case_studies[1].title,Bradford District and Craven ICB — COPD scale-up,,
luscii,Expected impact and case studies,case_study_1,Setting,case_studies[1].setting,"Bradford District and Craven ICB, 2021–2023",,
luscii,Expected impact and case studies,case_study_1,Outcome,case_studies[1].outcome,"6,000 COPD patients enrolled over 2 years. £400,000+ NHSE investment. Commenced as 50-patient COVID-19 recovery pilot.",,
luscii,Expected impact and case studies,case_study_1,Caveat,case_studies[1].caveat,Source is Luscii G-Cloud 14 Service Definition — not independently peer-reviewed.,,
luscii,Expected impact and case studies,case_study_1,Source,case_studies[1].source,"Luscii G-Cloud 14 Service Definition (NHS Digital Marketplace, 2024)",,
luscii,Clinical evidence,clinical_evidence,Summary paragraph,evidence_summary,"Real-world evidence from NWL ICS (6,000 COPD patients), Bradford District and Craven ICB (6,000 COPD patients, £400k NHSE investment), Sunderland virtual COPD clinic (50% admission reduction — attribution caveated), and MTW NHS Trust virtual ward. Imperial College HFrEF retention study (2% drop-out at 3 months). Published SAFE@HOME academic studies (preeclampsia). DTAC confirmed in G-Cloud 14 (April 2024). No standalone peer-reviewed RCT for Luscii in COPD identified.",,
luscii,Clinical evidence,evidence_nwl-ics,Group: Real-world / observational / service evaluation,_group:Real-world / observational / service evaluation,,,Study id: nwl-ics
luscii,Clinical evidence,evidence_nwl-ics,type,clinical_evidence_detailed[nwl-ics].type,real_world,,
luscii,Clinical evidence,evidence_nwl-ics,type label,clinical_evidence_detailed[nwl-ics].type_label,Real-world NHS programme data,,
luscii,Clinical evidence,evidence_nwl-ics,ref,clinical_evidence_detailed[nwl-ics].ref,NWL ICS / Imperial College Healthcare NHS Trust COPD programme,,
luscii,Clinical evidence,evidence_nwl-ics,authors,clinical_evidence_detailed[nwl-ics].authors,"Dr Sarah Elkin, Consultant Respiratory Medicine, Imperial College Healthcare NHS Trust",,
luscii,Clinical evidence,evidence_nwl-ics,year,clinical_evidence_detailed[nwl-ics].year,2023,,
luscii,Clinical evidence,evidence_nwl-ics,n,clinical_evidence_detailed[nwl-ics].n,"6,000",,
luscii,Clinical evidence,evidence_nwl-ics,setting,clinical_evidence_detailed[nwl-ics].setting,"North West London ICS, 2022–2023. MyCare24 24/7 monitoring hub.",,
luscii,Clinical evidence,evidence_nwl-ics,key results,clinical_evidence_detailed[nwl-ics].key_results,"6,000 COPD patient target met within 1 year — 12 months ahead of the 2-year programme target. Weekly SpO2/HR monitoring, CAT/CCQ questionnaires, Know Your Normal, and educational lessons deployed.",,
luscii,Clinical evidence,evidence_nwl-ics,study limitation,clinical_evidence_detailed[nwl-ics].study_limitation,Data from Luscii G-Cloud 14 Service Definition — not independently peer-reviewed.,,
luscii,Clinical evidence,evidence_nwl-ics,source label,clinical_evidence_detailed[nwl-ics].source_label,"Luscii G-Cloud 14 Service Definition (NHS Digital Marketplace, 2024)",,
luscii,Clinical evidence,evidence_nwl-ics,source url,clinical_evidence_detailed[nwl-ics].source_url,https://www.digitalmarketplace.service.gov.uk/g-cloud/services/716511,,
luscii,Clinical evidence,evidence_nwl-ics,url full text,clinical_evidence_detailed[nwl-ics].url_full_text,https://www.digitalmarketplace.service.gov.uk/g-cloud/services/716511,,
luscii,Clinical evidence,evidence_nwl-ics,peer reviewed,clinical_evidence_detailed[nwl-ics].peer_reviewed,false,,
luscii,Clinical evidence,evidence_nwl-ics,coi,clinical_evidence_detailed[nwl-ics].coi,false,,
luscii,Clinical evidence,evidence_nwl-ics,data quality flag,clinical_evidence_detailed[nwl-ics].data_quality_flag,false,,
luscii,Clinical evidence,evidence_bradford-icb,Group: Real-world / observational / service evaluation,_group:Real-world / observational / service evaluation,,,Study id: bradford-icb
luscii,Clinical evidence,evidence_bradford-icb,type,clinical_evidence_detailed[bradford-icb].type,real_world,,
luscii,Clinical evidence,evidence_bradford-icb,type label,clinical_evidence_detailed[bradford-icb].type_label,Real-world NHS programme data,,
luscii,Clinical evidence,evidence_bradford-icb,ref,clinical_evidence_detailed[bradford-icb].ref,Bradford District and Craven ICB COPD programme,,
luscii,Clinical evidence,evidence_bradford-icb,authors,clinical_evidence_detailed[bradford-icb].authors,"Dr Katherine Hickman, GP Respiratory Lead, Bradford District and Craven ICB",,
